Number	System	Body	Piston	Nrv in probe	Handle	x	x2	x3	Fittings	Sales year	Code number	Description	Pcs	2 First	Body/Gas thread	Piston thread	Body description	Piston description	NRV description	Body drawings	Piston drawings	NRV drawings	Fitting drawings	Complete drawing list
3	A	8	1	3	CA	0	0	0	00	2019	3A813CA00000	MF-AB 5/8″BSP 5/8″BSP	84.259	3A	5/8"	5/8"	5/8"	5/8" Standard	Kontraventil	707-420, 703-407	703-242	102-699		707-420, 703-407, 703-242, 102-699
7	G	1	1	2	CA	0	0	0	00	2019	7G112CA00000	MF-GB 1/2″BSP 1/2″BSP	54.050	7G	1/2"	1/2"	"1/2""
Spec. Bass"	"1/2""
Spec. Bass"	"Stop
Kugle"	703-495	703-261	102-524, 102-527		703-495, 703-261, 102-524, 102-527
3	G	1	1	1	CA	0	0	0	01	2019	3G111CA00001	MF-GB 5/8″BSP-5/8″BSP	46.631	3G	5/8"	5/8"	5/8"	5/8"	Kontraventil	707-420, 703-447	703-197	102-699	100-461	707-420, 703-447, 703-197, 102-699, 100-461
3	A	8	1	3	CA	0	0	0	00	2021	3A813CA00000	MF-AB 5/8″BSP 5/8″BSP	43.429	3A	5/8"	5/8"	5/8"	5/8" Standard	Kontraventil	707-420, 703-407	703-242	102-699		707-420, 703-407, 703-242, 102-699
3	A	9	1	3	CA	0	0	0	00	2019	3A913CA00000	MF-AB 3/4″BSP-5/8″BSP	42.829	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8" Standard	Kontraventil	401-472, 703-407	703-242	102-699		401-472, 703-407, 703-242, 102-699
7	A	1	3	2	CA	0	0	0	96	2020	7A132CA00096	MF-AB 1/2″BSP-5/8″BSP	39.260	7A	1/2"	5/8"	1/2"	5/8" Standard	Stop Kugle	703-485	703-181	102-524, 102-527	401-520, 405-001	703-485, 703-181, 102-524, 102-527, 401-520, 405-001
3	A	9	1	3	CA	0	0	0	00	2022	3A913CA00000	MF-AB 3/4″BSP-5/8″BSP	38.587	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8" Standard	Kontraventil	401-472, 703-407	703-242	102-699		401-472, 703-407, 703-242, 102-699
7	A	1	3	2	CA	0	0	0	96	2022	7A132CA00096	MF-AB 1/2″BSP-5/8″BSP	31.380	7A	1/2"	5/8"	1/2"	5/8" Standard	Stop Kugle	703-485	703-181	102-524, 102-527	401-520, 405-001	703-485, 703-181, 102-524, 102-527, 401-520, 405-001
7	A	1	3	2	CA	0	0	0	96	2019	7A132CA00096	MF-AB 1/2″BSP-5/8″BSP	28.760	7A	1/2"	5/8"	1/2"	5/8" Standard	Stop Kugle	703-485	703-181	102-524, 102-527	401-520, 405-001	703-485, 703-181, 102-524, 102-527, 401-520, 405-001
3	S	1	A	3	CA	0	0	0	00	2019	3S1A3CA00000	MF-S 5/8″BSP 5/8″BSP	28.034	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-473	707-239	102-699		707-420, 707-473, 707-239, 102-699
